State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
Michigan,Muskegon,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,12,12.50%,1,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Northcare Network","Behavioral Health",*,*,2,11.11%,1,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Total Health Care","Behavioral Health",*,*,6,0.00%,,*,2021,Comprehensive MCO
Michigan,Muskegon,"Priority Health","Behavioral Health",939,"10,141",383,9.26%,10,3:01,2021,Comprehensive MCO
Michigan,Muskegon,"Oakland County Cmh Authority","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Macomb County Cmh Services","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Bcbs,"Behavioral Health",167,"2,424",280,6.89%,9,1:02,2021,Comprehensive MCO
Michigan,Muskegon,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",32,187,53,17.11%,16,1:02,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Northern Michigan Regional Entity","Behavioral Health",*,*,7,26.09%,6,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Lakeshore Regional Entity","Behavioral Health","1,986","31,403",238,6.32%,47,9:01,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Mclaren Hp","Behavioral Health",36,"1,010",199,3.56%,10,1:06,2021,Comprehensive MCO
Michigan,Muskegon,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Senior Services, Inc.","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,Molina,"Behavioral Health",131,"2,735",301,4.79%,10,1:03,2021,Comprehensive MCO
Michigan,Muskegon,Meridian,"Behavioral Health",682,"7,374",414,9.25%,12,2:01,2021,Comprehensive MCO
Michigan,Muskegon,"Aetna Better Health","Behavioral Health",*,*,10,0.00%,,*,2021,Comprehensive MCO
Michigan,Muskegon,"Southwest Mi Behavioral Health","Behavioral Health",*,*,15,7.69%,13,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Mclaren Hp","Behavioral Health",37,"1,332",257,2.78%,11,1:07,2022,Comprehensive MCO
Michigan,Muskegon,"Senior Resources Of West Michigan","Behavioral Health",0,372,0,0.00%,,0,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,Bcbs,"Behavioral Health",223,"2,998",316,7.44%,11,1:02,2022,Comprehensive MCO
Michigan,Muskegon,"Region 4 Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Lakeshore Regional Entity","Behavioral Health","2,621","38,173",243,6.87%,56,11:01,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Oakland County Cmh Authority","Behavioral Health",*,*,1,37.50%,12,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Northern Michigan Regional Entity","Behavioral Health",*,*,10,19.51%,10,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",35,226,53,15.49%,11,1:02,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,6,25.00%,8,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Molina,"Behavioral Health",177,"3,470",329,5.10%,10,1:02,2022,Comprehensive MCO
Michigan,Muskegon,"United Healthcare","Behavioral Health",102,"1,841",231,5.54%,12,1:03,2022,Comprehensive MCO
Michigan,Muskegon,"Priority Health","Behavioral Health","1,313","12,494",476,10.51%,12,3:01,2022,Comprehensive MCO
Michigan,Muskegon,"Upper Peninsula Hp","Behavioral Health",*,*,8,0.00%,,*,2022,Comprehensive MCO
Michigan,Muskegon,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,8,15.38%,4,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Aetna Better Health","Behavioral Health",*,*,13,0.00%,,*,2022,Comprehensive MCO
Michigan,Muskegon,"Hap Midwest Hp","Behavioral Health",*,*,1,0.00%,,*,2022,Comprehensive MCO
Michigan,Muskegon,Meridian,"Behavioral Health",731,"8,023",445,9.11%,13,2:01,2022,Comprehensive MCO
Michigan,Muskegon,"Macomb County Cmh Services","Behavioral Health",*,*,2,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Northcare Network","Behavioral Health",*,*,1,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Region 10","Behavioral Health",*,*,2,14.29%,122,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Molina,"Behavioral Health",258,"4,229",362,6.10%,12,1:02,2023,Comprehensive MCO
Michigan,Muskegon,"Priority Health","Behavioral Health","1,830","15,900",540,11.51%,13,4:01,2023,Comprehensive MCO
Michigan,Muskegon,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,7,5.26%,50,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Meridian,"Behavioral Health",999,"9,374",468,10.66%,14,3:01,2023,Comprehensive MCO
Michigan,Muskegon,"Mclaren Hp","Behavioral Health",68,"1,717",289,3.96%,12,1:05,2023,Comprehensive MCO
Michigan,Muskegon,Bcbs,"Behavioral Health",268,"4,167",338,6.43%,11,1:02,2023,Comprehensive MCO
Michigan,Muskegon,"Senior Resources Of West Michigan","Behavioral Health",0,399,0,0.00%,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Macomb County Cmh Services","Behavioral Health",*,*,3,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Reliance Community Care Partners","Behavioral Health",0,74,0,0.00%,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"United Healthcare","Behavioral Health",113,"2,380",240,4.75%,12,1:03,2023,Comprehensive MCO
Michigan,Muskegon,"Lakeshore Regional Entity","Behavioral Health","3,631","48,860",227,7.43%,55,16:01,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Aetna Better Health","Behavioral Health",*,*,15,0.00%,,*,2023,Comprehensive MCO
Michigan,Muskegon,"Southwest Mi Behavioral Health","Behavioral Health",*,*,21,8.86%,9,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Northern Michigan Regional Entity","Behavioral Health",*,*,5,12.90%,8,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Hap Midwest Hp","Behavioral Health",*,*,12,0.00%,,*,2023,Comprehensive MCO
Michigan,Muskegon,"Northcare Network","Behavioral Health",*,*,0,9.09%,2,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",56,366,49,15.30%,24,2:01,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Region 10","Behavioral Health",*,*,2,9.09%,6,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Oakland County Cmh Authority","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,3,22.22%,3,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Upper Peninsula Hp","Behavioral Health",*,*,6,0.00%,,*,2023,Comprehensive MCO
Michigan,Muskegon,Meridian,"Behavioral Health","1,226","11,874",436,10.33%,18,3:01,2024,Comprehensive MCO
Michigan,Muskegon,"United Healthcare","Behavioral Health",218,"3,213",265,6.78%,17,1:02,2024,Comprehensive MCO
Michigan,Muskegon,"Senior Resources Of West Michigan","Behavioral Health",0,478,0,0.00%,,0,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Region 10","Behavioral Health",*,*,3,14.00%,8,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Lakeshore Regional Entity","Behavioral Health","5,622","62,827",215,8.95%,52,27:01:00,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Macomb County Cmh Services","Behavioral Health",*,*,3,20.00%,33,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Southwest Mi Behavioral Health","Behavioral Health",28,194,13,14.43%,16,3:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Bcbs,"Behavioral Health",390,"5,718",368,6.82%,13,2:01,2024,Comprehensive MCO
Michigan,Muskegon,"Priority Health","Behavioral Health","2,492","20,814",577,11.97%,15,5:01,2024,Comprehensive MCO
Michigan,Muskegon,"Oakland County Cmh Authority","Behavioral Health",*,*,0,10.81%,24,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Hap Midwest Hp","Behavioral Health",*,*,30,0.00%,,*,2024,Comprehensive MCO
Michigan,Muskegon,"Northcare Network","Behavioral Health",*,*,0,21.43%,363,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Aetna Better Health","Behavioral Health",*,*,15,14.29%,1,*,2024,Comprehensive MCO
Michigan,Muskegon,"Northern Michigan Regional Entity","Behavioral Health",14,109,5,12.84%,11,3:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,6,14.06%,16,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,Molina,"Behavioral Health",428,"5,688",361,7.52%,16,2:01,2024,Comprehensive MCO
Michigan,Muskegon,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,4,7.14%,7,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Muskegon,"Mclaren Hp","Behavioral Health",152,"2,401",292,6.33%,16,1:02,2024,Comprehensive MCO
Michigan,Muskegon,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",100,652,39,15.34%,11,3:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Muskegon,"Upper Peninsula Hp","Behavioral Health",*,*,3,0.00%,,*,2024,Comprehensive MCO
Michigan,Newaygo,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Meridian,"Behavioral Health",105,"1,267",94,8.29%,10,2:01,2020,Comprehensive MCO
Michigan,Newaygo,"Southwest Mi Behavioral Health","Behavioral Health",*,*,5,8.33%,1,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Upper Peninsula Hp","Behavioral Health",0,0,1,,,0,2020,Comprehensive MCO
Michigan,Newaygo,"Senior Resources Of West Michigan","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"United Healthcare","Behavioral Health",*,*,45,3.90%,6,*,2020,Comprehensive MCO
Michigan,Newaygo,"Region 10","Behavioral Health",*,*,0,16.67%,62,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Priority Health","Behavioral Health",202,"3,036",86,6.65%,12,3:01,2020,Comprehensive MCO
Michigan,Newaygo,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",597,"7,397",23,8.07%,24,26:01:00,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Oakland County Cmh Authority","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Northcare Network","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Mclaren Hp","Behavioral Health",*,*,39,2.56%,12,*,2020,Comprehensive MCO
Michigan,Newaygo,Molina,"Behavioral Health",38,719,70,5.29%,9,1:02,2020,Comprehensive MCO
Michigan,Newaygo,"Northern Michigan Regional Entity","Behavioral Health",*,*,1,14.29%,2,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Cmh Partnership Of Southeast Michigan","Behavioral Health",0,0,1,,,0,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Bcbs,"Behavioral Health",13,302,46,4.30%,11,1:04,2020,Comprehensive MCO
Michigan,Newaygo,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Lakeshore Regional Entity","Behavioral Health",34,269,71,12.64%,15,1:03,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Aetna Better Health","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Michigan,Newaygo,Molina,"Behavioral Health",66,898,74,7.35%,9,1:02,2021,Comprehensive MCO
Michigan,Newaygo,"Upper Peninsula Hp","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Michigan,Newaygo,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,22.22%,7,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"United Healthcare","Behavioral Health",19,359,52,5.29%,17,1:03,2021,Comprehensive MCO
Michigan,Newaygo,"Priority Health","Behavioral Health",293,"3,806",92,7.70%,12,4:01,2021,Comprehensive MCO
Michigan,Newaygo,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",696,"9,017",27,7.72%,24,26:01:00,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Oakland County Cmh Authority","Behavioral Health",*,*,0,25.00%,4,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Meridian,"Behavioral Health",107,"1,407",106,7.60%,14,2:01,2021,Comprehensive MCO
Michigan,Newaygo,"Lakeshore Regional Entity","Behavioral Health",30,297,57,10.10%,14,1:02,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Senior Resources Of West Michigan","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Mclaren Hp","Behavioral Health",18,429,42,4.20%,9,1:03,2021,Comprehensive MCO
Michigan,Newaygo,"Region 10","Behavioral Health",*,*,0,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Northern Michigan Regional Entity","Behavioral Health",*,*,3,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Hap Midwest Hp","Behavioral Health",*,*,1,0.00%,,*,2021,Comprehensive MCO
Michigan,Newaygo,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Bcbs,"Behavioral Health",20,380,54,5.26%,10,1:03,2021,Comprehensive MCO
Michigan,Newaygo,"Northcare Network","Behavioral Health",*,*,0,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Area Agency On Aging 1-B","Behavioral Health",0,45,0,0.00%,,0,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Upper Peninsula Hp","Behavioral Health",*,*,0,33.33%,1,*,2022,Comprehensive MCO
Michigan,Newaygo,"United Healthcare","Behavioral Health",21,492,51,4.27%,11,1:03,2022,Comprehensive MCO
Michigan,Newaygo,"Southwest Mi Behavioral Health","Behavioral Health",*,*,4,9.09%,13,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Senior Resources Of West Michigan","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Region 3b Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Region 10","Behavioral Health",*,*,0,12.50%,12,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Priority Health","Behavioral Health",353,"4,531",100,7.79%,13,4:01,2022,Comprehensive MCO
Michigan,Newaygo,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",915,"10,947",31,8.36%,20,30:01:00,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Mclaren Hp","Behavioral Health",30,580,48,5.17%,12,1:02,2022,Comprehensive MCO
Michigan,Newaygo,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Molina,"Behavioral Health",54,"1,103",76,4.90%,11,1:02,2022,Comprehensive MCO
Michigan,Newaygo,"Northcare Network","Behavioral Health",*,*,0,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Meridian,"Behavioral Health",115,"1,589",96,7.24%,11,2:01,2022,Comprehensive MCO
Michigan,Newaygo,"Hap Midwest Hp","Behavioral Health",0,0,1,,,0,2022,Comprehensive MCO
Michigan,Newaygo,"Macomb County Cmh Services","Behavioral Health",*,*,0,100.00%,11,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Lakeshore Regional Entity","Behavioral Health",50,496,49,10.08%,15,2:01,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Northern Michigan Regional Entity","Behavioral Health",*,*,3,5.88%,1,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,2,20.00%,13,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Bcbs,"Behavioral Health",24,474,52,5.06%,10,1:03,2022,Comprehensive MCO
Michigan,Newaygo,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Aetna Better Health","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Michigan,Newaygo,"Senior Resources Of West Michigan","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Upper Peninsula Hp","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Michigan,Newaygo,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,11.76%,5,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Region 10","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Priority Health","Behavioral Health",502,"5,541",105,9.06%,13,5:01,2023,Comprehensive MCO
Michigan,Newaygo,"United Healthcare","Behavioral Health",26,683,44,3.81%,12,1:02,2023,Comprehensive MCO
Michigan,Newaygo,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health","1,252","13,834",24,9.05%,19,53:01:00,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Oakland County Cmh Authority","Behavioral Health",*,*,0,25.00%,2,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Molina,"Behavioral Health",69,"1,336",75,5.16%,11,1:02,2023,Comprehensive MCO
Michigan,Newaygo,"Northcare Network","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Mclaren Hp","Behavioral Health",33,722,50,4.57%,12,1:02,2023,Comprehensive MCO
Michigan,Newaygo,"Lakeshore Regional Entity","Behavioral Health",76,686,44,11.08%,33,2:01,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Hap Midwest Hp","Behavioral Health",0,0,1,,,0,2023,Comprehensive MCO
Michigan,Newaygo,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,14.29%,6,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Bcbs,"Behavioral Health",35,647,61,5.41%,14,1:02,2023,Comprehensive MCO
Michigan,Newaygo,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Northern Michigan Regional Entity","Behavioral Health",*,*,2,4.08%,5,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Aetna Better Health","Behavioral Health",*,*,0,0.00%,,*,2023,Comprehensive MCO
Michigan,Newaygo,Meridian,"Behavioral Health",104,"1,925",86,5.40%,11,2:01,2023,Comprehensive MCO
Michigan,Newaygo,"Lakeshore Regional Entity","Behavioral Health",142,"1,233",32,11.52%,21,5:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Senior Resources Of West Michigan","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"United Healthcare","Behavioral Health",24,869,51,2.76%,8,1:03,2024,Comprehensive MCO
Michigan,Newaygo,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,15.22%,21,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Reliance Community Care Partners","Behavioral Health",0,16,0,0.00%,,0,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Upper Peninsula Hp","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Michigan,Newaygo,"Region 10","Behavioral Health",*,*,0,10.00%,10,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Priority Health","Behavioral Health",683,"6,988",107,9.77%,13,7:01,2024,Comprehensive MCO
Michigan,Newaygo,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health","1,658","16,908",23,9.81%,20,73:01:00,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Oakland County Cmh Authority","Behavioral Health",*,*,0,0.00%,,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Northcare Network","Behavioral Health",*,*,1,6.67%,27,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Molina,"Behavioral Health",102,"1,733",73,5.89%,11,2:01,2024,Comprehensive MCO
Michigan,Newaygo,"Mclaren Hp","Behavioral Health",71,919,49,7.73%,10,2:01,2024,Comprehensive MCO
Michigan,Newaygo,"Macomb County Cmh Services","Behavioral Health",*,*,0,0.00%,,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Hap Midwest Hp","Behavioral Health",*,*,0,40.00%,17,*,2024,Comprehensive MCO
Michigan,Newaygo,Meridian,"Behavioral Health",132,"2,433",75,5.43%,12,2:01,2024,Comprehensive MCO
Michigan,Newaygo,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,11.11%,1,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,16.67%,5,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,Bcbs,"Behavioral Health",53,948,68,5.59%,11,1:02,2024,Comprehensive MCO
Michigan,Newaygo,"Northern Michigan Regional Entity","Behavioral Health",13,51,4,25.49%,14,4:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Newaygo,"Area Agency On Aging 1-B","Behavioral Health",0,43,0,0.00%,,0,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Newaygo,"Aetna Better Health","Behavioral Health",*,*,1,0.00%,,*,2024,Comprehensive MCO
Michigan,Oakland,"Cmh Partnership Of Southeast Michigan","Behavioral Health",23,295,61,7.80%,82,1:03,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Oakland,Bcbs,"Behavioral Health",988,"15,665","1,246",6.31%,12,1:02,2020,Comprehensive MCO
Michigan,Oakland,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"Aetna Better Health","Behavioral Health",101,"2,406",359,4.20%,7,1:04,2020,Comprehensive MCO
Michigan,Oakland,"Upper Peninsula Hp","Behavioral Health",*,*,11,6.67%,6,*,2020,Comprehensive MCO
Michigan,Oakland,"United Healthcare","Behavioral Health","1,258","19,315","1,125",6.51%,11,2:01,2020,Comprehensive MCO
Michigan,Oakland,"Total Health Care","Behavioral Health",*,*,561,3.57%,7,*,2020,Comprehensive MCO
Michigan,Oakland,"The Senior Alliance","Behavioral Health",*,*,1,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"The Information Center","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"Region 2- Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Oakland,"Valley Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
